,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9577431115892654,0.969481800251031,0.9732651963421194,0.9676707907477138
Precision_0,0.9801676991478937,0.982671036460467,0.9840893336577765,0.9676707907477138
Recall_0,0.9785795022884355,0.9877229500332507,0.9908565522551848,1.0
F1_0,0.9793729568450649,0.9851905169200629,0.9874613489052533,0.9835698078132261
Precision_1,0.3504043126684636,0.40352260778128285,0.5783048482734566,1.0
Recall_1,0.3858520900321543,0.3796685629483057,0.41009151620084094,0.0
F1_1,0.36727486756915834,0.39123231808334397,0.47988422575976847,0.0
Precision_2,0.1313503553566728,0.6136777009821753,0.5593834995466909,1.0
Recall_2,0.12079399661099008,0.4083756959573953,0.4480755265068991,0.0
F1_2,0.12585119798234554,0.49040697674418604,0.4975806451612903,0.0
Precision_3,0.4270880361173815,0.4074675324675325,0.5119737837156542,1.0
Recall_3,0.47229156265601596,0.31328007988017975,0.5069895157264104,0.0
F1_3,0.4485538169748696,0.3542195879198419,0.5094694594255613,0.0
Precision_4,0.3392568659127625,0.5845740785940933,0.6228134110787172,1.0
Recall_4,0.363232023721275,0.5917963923894243,0.4222881146528293,0.0
F1_4,0.35083532219570407,0.5881630648330058,0.5033132086585186,0.0
Avg_F1,0.4543776323134285,0.5618424929000881,0.5955417775820784,0.19671396156264523
