,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9583447891140199,0.9696073157611619,0.976678022831869,0.9689777459008229
Precision_0,0.9792432276893986,0.9834364418750333,0.9863565650598051,0.973286489324817
Recall_0,0.9810559652088683,0.9891895453637564,0.9935302002919852,0.9999814677920521
F1_0,0.9801487583073523,0.9863046042440226,0.9899303867199281,0.9864534096010368
Precision_1,0.245014245014245,0.45192618970540627,0.6767987687572143,1.0
Recall_1,0.14809348093480934,0.34341943419434195,0.43271832718327186,0.0
F1_1,0.1846059490953695,0.39027117696393626,0.5279111644657863,0.0
Precision_2,0.2479185938945421,0.5043144774688398,0.5662493479394888,1.0
Recall_2,0.2605736509479825,0.3835683033543996,0.5277102576567817,0.0
F1_2,0.2540886465987201,0.43573105066961204,0.5463009562154001,0.0
Precision_3,0.4042672655811342,0.3736871199557767,0.6168535919975751,0.24486359043448971
Recall_3,0.35874439461883406,0.3368211260587942,0.5069755854509218,0.18111609367214748
F1_3,0.3801478352692714,0.35429769392033544,0.5565431423492411,0.20821996276671917
Precision_4,0.2906677234000396,0.5420819490586932,0.5818181818181818,1.0
Recall_4,0.358154296875,0.47802734375,0.4296875,0.0
F1_4,0.32090123591818875,0.5080435910742086,0.49431259654542903,0.0
Avg_F1,0.4239784850377804,0.534929623374423,0.622999649259157,0.2389346744735512
