,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.8565824668474985,0.8561303872814949,0.864814082278481,0.8672063366485835,0.8706110608800482,0.8825817510548524,0.8888543550331525,0.8851906268836649,0.8936718279083785,0.8812490581675708,0.864013524713683,0.863867540687161,0.8520051612417119
Precision_0,0.9014965367047224,0.911458912634729,0.9046874269294521,0.9164883591281956,0.9172821583358942,0.928280947335752,0.9210259694581953,0.9257799253984401,0.9265706607435658,0.920267933183901,0.914346559769503,0.9049501730349983,0.8520051612417119
Recall_0,0.9632223296946248,0.9511565565842199,0.9623214038966422,0.9540748929114274,0.9568937405002073,0.9588448252038138,0.9697333149094929,0.965748238220257,0.977609506701672,0.9735028326654691,0.9682244023766754,0.9842586707199116,1.0
F1_0,0.9313378117668436,0.9308846996456874,0.9326148440178266,0.9349039997833564,0.9366693447815984,0.9433153800770513,0.9447522737185596,0.9453418131747736,0.9514060718204703,0.9461371523114773,0.9405145082963993,0.9429397467871837,0.9200894026347841
Precision_1,0.3561643835616438,0.35093984962406016,0.4414114513981358,0.40260631001371744,0.4253717297195558,0.5117220441895767,0.5491575634141825,0.4619249489715811,0.4957852013737121,0.40321489001692046,0.30546792849631965,0.2872387727879057,1.0
Recall_1,0.22234099412079103,0.2494655264564404,0.265766969535008,0.31373597006948156,0.3019775521111705,0.4053981827899519,0.3963121325494388,0.39310529128808125,0.4243719935863175,0.318412613575628,0.232896846606093,0.2589524318546232,0.0
F1_1,0.27377426785126685,0.29162761636988443,0.3317764804003336,0.3526584559927906,0.353207783074158,0.4523969283530903,0.4603802871556073,0.4247455424817729,0.45730741540676745,0.3558309690906376,0.26429112964366946,0.27236315086782376,0.0
Precision_2,0.48108684070324986,0.42141715503462973,0.4950570342205323,0.5561106840891622,0.48967173738991193,0.5260408894194897,0.5677408469714864,0.5273544039788224,0.6236363636363637,0.5430243902439025,0.5054224464060529,0.401242787394585,1.0
Recall_2,0.22771403353927624,0.2992056487202118,0.3283318623124448,0.36489723868364643,0.3855755894590846,0.44445845416719204,0.424284453410667,0.41444962804186103,0.38923212709620475,0.3509015256588072,0.252679359475476,0.1139831042743664,0.0
F1_2,0.30911424903722723,0.3499483851939242,0.39481464634978397,0.44065473924628856,0.4314334085778781,0.48182066703116455,0.48564006350122674,0.46413442530358656,0.47931061253008306,0.4263174019607843,0.3369199731002018,0.17753338570306362,0.0
Precision_3,0.3857452071737786,0.41498523622047245,0.5391112743297833,0.5010092272202998,0.5512555391432792,0.5729372007885103,0.6391369047619048,0.6168966168966169,0.6188166828322017,0.5169286577992744,0.3788300835654596,0.46920721333787,1.0
Recall_3,0.3080246913580247,0.41641975308641976,0.36246913580246914,0.42901234567901236,0.46074074074074073,0.5023456790123457,0.42419753086419754,0.40296296296296297,0.39382716049382716,0.31666666666666665,0.2854320987654321,0.1702469135802469,0.0
F1_3,0.3425315760571115,0.4157012570865171,0.43348589989664843,0.46222399574354883,0.5019502353732347,0.535324299434285,0.5099436034431583,0.48749159883503845,0.48132780082987553,0.3927423059255857,0.3255650214743364,0.24984147114774888,0.0
Precision_4,0.40072376357056694,0.4700089525514772,0.42823629771806354,0.46727423363711684,0.5107832009080591,0.5770303241547577,0.6855480116391852,0.6554254761488729,0.6961616161616162,0.6593473005640612,0.44871794871794873,0.31552863436123346,1.0
Recall_4,0.20993427704752274,0.2654196157735086,0.2537917087967644,0.3564206268958544,0.34125379170879677,0.41847826086956524,0.4466632962588473,0.47408998988877654,0.43554095045500507,0.41367542972699695,0.28311425682507585,0.1448432760364004,0.0
F1_4,0.27552459152359626,0.3392568659127625,0.3187048646932783,0.40438804043880405,0.40915290195484166,0.48512820512820515,0.540904568761001,0.5502016868353502,0.5358420152386876,0.5083876980428704,0.347179169249845,0.19854469854469856,0.0
Avg_F1,0.42645649924720913,0.46548376484175513,0.4822793470715741,0.5189658462409577,0.5264827347523422,0.5795970960047592,0.5883241593159105,0.5743830133261044,0.5810387831651769,0.525883105466271,0.4428939603528904,0.3682444906101037,0.18401788052695683
