,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.8485208745059288,0.8655894886363636,0.872166810770751,0.8793076828063241,0.8696038166996047,0.895411314229249,0.8973026803359684,0.8886332756916996,0.8901618083003953,0.8712790266798419,0.851076148715415,0.8344938858695652,0.8084470726284585
Precision_0,0.9065613751960615,0.9230194526688619,0.9221314491793626,0.9326332659355404,0.9262649115590292,0.9439301572966057,0.9452527952415013,0.9418385435718506,0.9447324265801783,0.9345777034870223,0.9222036666940436,0.9030268011911641,0.8289111068384285
Recall_0,0.9663954072756794,0.9671685931882321,0.9687246298372444,0.9673812193141841,0.9575617582247652,0.9697297715235629,0.9706865890903468,0.9705029574361155,0.9740692774577647,0.972667877991263,0.9766884447365369,0.9818108014071983,1.0
F1_0,0.9355226533810492,0.9445784269768979,0.9448539808827133,0.9496895028725135,0.9416533607055961,0.9566560515627086,0.95780087736029,0.9559559226027561,0.9591765842330917,0.9532424355798875,0.9486643917596421,0.9407722619152354,0.9064531389623816
Precision_1,0.4829735143556644,0.5479720889664196,0.5768822905620361,0.5855698171917542,0.5606365834004835,0.6476789347142593,0.6487353718384296,0.5487648673376029,0.5674888660500171,0.4828719723183391,0.3838963246229021,0.3093642456076798,1.0
Recall_1,0.3448275862068966,0.39933259176863184,0.4322262831717782,0.47846813920228826,0.442237406642301,0.5564913395836644,0.5461624026696329,0.4765612585412363,0.526457969172096,0.44350866041633563,0.2871444462100747,0.271412680756396,0.0
F1_1,0.40237344706100503,0.461990991819101,0.4941860465116279,0.5266287713161347,0.49444789908501374,0.5986324786324786,0.5930463290483996,0.5101207688382378,0.5462039403181931,0.46235401308705376,0.32854545454545453,0.2891484679194176,0.0
Precision_2,0.49793155321549454,0.5539593552908199,0.628433820906172,0.6486746062235882,0.5946832383911618,0.6892722924496071,0.6796514607893388,0.6586806695109945,0.6615222728867064,0.5801094890510949,0.5287301962638922,0.3574214269327827,1.0
Recall_2,0.41394403626700016,0.4942942004064405,0.5507269032358918,0.5279037048616539,0.5385336876660934,0.6307644208222605,0.6218539940597155,0.6274816320150071,0.589651399093325,0.4969516961075504,0.34953884633421917,0.24355166484289512,0.0
F1_2,0.45206999573196754,0.5224287484510532,0.5870199116887445,0.5820908385762303,0.5652173913043478,0.6587217370010612,0.649469387755102,0.6427027459771035,0.6235226051739813,0.535320367096068,0.42085450781102957,0.2896987727779844,0.0
Precision_3,0.5419283339490211,0.5871662914120296,0.6646912636207226,0.6517291768144179,0.644081371135672,0.7015807121187929,0.7182459677419355,0.6424676209952284,0.6358348968105065,0.5529853697113484,0.4144781144781145,0.48685897435897435,1.0
Recall_3,0.4188436830835118,0.5211991434689508,0.4963597430406852,0.5730192719486081,0.5740185581727337,0.627266238401142,0.6102783725910065,0.5381870092790864,0.4837972876516774,0.39928622412562453,0.3514632405424697,0.21684511063526052,0.0
F1_3,0.4725018117400757,0.5522196173334342,0.5683229813664596,0.609845031905196,0.6070350241545893,0.6623454929152849,0.6598749710581153,0.5857220539112872,0.5494933117146331,0.4637320732819365,0.38037852452684434,0.30004938271604936,0.0
Precision_4,0.5408570004982561,0.5921423920121555,0.5720499243570348,0.5970907816333684,0.5956568557071069,0.6509797060881736,0.6646173758291538,0.7121267297887837,0.6765246449456975,0.6244352069401771,0.528450482378421,0.427121999505073,0.26634125636672323
Recall_4,0.340655892044563,0.4280558606621685,0.4746587164600659,0.5345990899105602,0.5207908363408128,0.5838694492389769,0.6445943825513887,0.6136827239918405,0.6353365761807626,0.5421308645849678,0.4211517338772948,0.27083006433390866,0.19692452534128355
F1_4,0.41802252816020025,0.49690346083788706,0.5188234285224251,0.5641195463200596,0.5557136877354542,0.6156009595500042,0.654452764059264,0.6592498946481248,0.6552840265415115,0.5803796405173862,0.4687390848760042,0.33147685807566735,0.2264321154713577
Avg_F1,0.5360980872148595,0.5956242490836747,0.622641269794394,0.6464747381980268,0.6328134725970002,0.6983913439323074,0.7029288658562342,0.6707502771955018,0.6667360935962823,0.5990057059124665,0.509436392703795,0.4302291486808708,0.22657705088674787
