,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.9389204545454546,0.9536808300395256,0.9600497159090909,0.9582123888339921,0.9565062994071146,0.9524224925889329,0.9462311635375494,0.9307142416007905,0.9308917984189723,0.914934844367589,0.9015717638339921,0.9031157361660079,0.9111057929841897
Precision_0,0.961700703046535,0.9737608342361863,0.9767601399134433,0.9752253586694316,0.9725935998243288,0.9705889812239515,0.9658425039302558,0.9573787513397642,0.9539412468430147,0.9411629510457367,0.9305710448125687,0.9180919231073491,0.935445106710248
Recall_0,0.98405357723995,0.985252556394841,0.9876933353887262,0.986742716201634,0.9862288679923951,0.9832485483788089,0.9838994227771782,0.9791720192521796,0.983368446294298,0.9819639278557114,0.9790178647894079,0.9939194628573386,1.0
F1_0,0.9727487449522955,0.9794729896556128,0.9821963132188436,0.9809502322156051,0.979363776688254,0.9768777520154858,0.974787349129245,0.9681527583724967,0.968431351050461,0.9611306235697461,0.9541798999211222,0.954502089021943,0.9666459704457966
Precision_1,0.6007846983815596,0.6886589047003019,0.78287841191067,0.7908730158730158,0.7822647793505412,0.7327835051546392,0.752,0.5385259631490787,0.5405930967428294,0.4379487179487179,0.3029001074113856,0.2845691382765531,1.0
Recall_1,0.45606850335070737,0.5945644080416977,0.7047654504839911,0.7419955323901712,0.6995532390171258,0.6615785554728221,0.6299329858525688,0.4787788533134773,0.41399851079672373,0.31794489947877885,0.2099776619508563,0.05286671630677588,0.0
F1_1,0.5185185185185185,0.6381618381618381,0.7417711598746082,0.7656550134460238,0.7386006289308176,0.6953629426726669,0.6855753646677472,0.5068979109184075,0.4689015391102678,0.3684210526315789,0.24802110817941952,0.0891679748822606,0.0
Precision_2,0.7173835762531106,0.7583203732503888,0.7901465544122233,0.7636070853462158,0.7790933694181326,0.800949474398101,0.7903532092669958,0.7299836601307189,0.7385504668741663,0.590882178804026,0.5701849836779108,0.26282051282051283,1.0
Recall_2,0.6065524496543433,0.7327923053802224,0.7616471295461377,0.7126540426810941,0.6922152088969041,0.7099489029155395,0.6254884280132251,0.5371205290051098,0.499248572287346,0.2999699428914938,0.15749924857228734,0.0246468289750526,0.0
F1_2,0.657328990228013,0.7453378171812901,0.775635139271503,0.7372512437810945,0.7330892885564221,0.7527087316762269,0.6983221476510068,0.6188744588744589,0.5957675753228121,0.39792663476874,0.2468205369759774,0.04506732618851333,0.0
Precision_3,0.669928245270711,0.7839343301084726,0.8192453933898801,0.8120345546619006,0.7964575202641849,0.7944154648665235,0.7277452891487979,0.5580392156862745,0.5814046288906624,0.46606118546845127,0.29227166276346606,0.2087378640776699,1.0
Recall_3,0.5365726227795193,0.6985370950888192,0.7317136886102403,0.7121212121212122,0.6930512016718914,0.6763322884012539,0.5851619644723093,0.3717345872518286,0.38061650992685475,0.2547021943573668,0.16300940438871472,0.03369905956112853,0.0
F1_3,0.5958804757760371,0.7387760740433762,0.7730095211811784,0.7588030619345859,0.7411649671741863,0.7306335543953718,0.6487112655661743,0.44622138601442457,0.4600568361225134,0.3293918918918919,0.20929062552406508,0.058029689608636977,0.0
Precision_4,0.6655753040224509,0.7286473232529628,0.7457627118644068,0.7534246575342466,0.7810965630114566,0.7019892884468248,0.6367098248286367,0.6349963316214233,0.6494057724957555,0.5209914011127972,0.42704225352112674,0.34001178550383027,0.26634125636672323
Recall_4,0.48583134175486514,0.6087401843632639,0.6159098668487538,0.6196654148173438,0.6517582792762034,0.6264936838511438,0.5708432912256743,0.5909866848753841,0.5223625810856948,0.3516558552406965,0.2587913963810174,0.19699556162512802,0.4284738818709457
F1_4,0.5616735741069666,0.6633184523809523,0.674644727000748,0.6800299737729487,0.7105899869718966,0.6620963377232546,0.601980198019802,0.6122015915119363,0.5789971617786187,0.4198940073379535,0.32227891156462585,0.24945957630782534,0.32849103520481615
Avg_F1,0.6612300607163661,0.753013434284614,0.7894513721093761,0.7845379050300516,0.7805617296643153,0.7635358636966012,0.7218752650067951,0.6304696211383447,0.6144308926769345,0.4953528420399821,0.396118216433042,0.2792453312018358,0.25902740113012257
