,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.9354797694394213,0.9454679023508138,0.9502382836045811,0.9470925632911392,0.9523103149487643,0.9491127938517179,0.9475587703435805,0.9469795433996383,0.946004746835443,0.9346839210367691,0.9250065928270043,0.9310814119951778,0.9324659056660639
Precision_0,0.9626215720663265,0.9713016070898955,0.9695598375460269,0.970388878018433,0.9709169018657742,0.9710908151647833,0.9673602326716402,0.9642177576790966,0.9596475840001568,0.9520641877217556,0.9459974988929926,0.9393776184779344,0.9324659056660639
Recall_0,0.9757134704637621,0.9758144749534117,0.9813848725575852,0.97678916827853,0.9815767810879193,0.9778194140729556,0.9809758043745045,0.9852735454090934,0.9890460630975046,0.9851826413684088,0.9818191918630783,0.9953386428026726,1.0
F1_0,0.9691233086289706,0.9735528112419447,0.9754365181948463,0.9735785044094551,0.9762177420164944,0.9744434993985818,0.9741204436208811,0.9746319433689858,0.9741250671494797,0.9683403241418679,0.9635755352894528,0.9665488036329931,0.9650528921954464
Precision_1,0.3669137466307278,0.43125810635538264,0.5851615476665337,0.5830437804030577,0.6447127698499817,0.55924317617866,0.5436832181018227,0.492156862745098,0.44853263250109504,0.4180468303826385,0.2303867403314917,0.27586206896551724,1.0
Recall_1,0.3435331230283912,0.4195583596214511,0.46277602523659306,0.5293375394321767,0.5558359621451104,0.568769716088328,0.5457413249211357,0.39589905362776023,0.32302839116719245,0.2309148264984227,0.13154574132492114,0.032807570977917984,0.0
F1_1,0.3548387096774194,0.42532779021426287,0.5168222652809582,0.5548941798941799,0.5969845841097747,0.5639662183296841,0.5447103274559194,0.4388111888111888,0.37557307903906106,0.2975005080268238,0.1674698795180723,0.05864110515928954,0.0
Precision_2,0.579967023907667,0.6316451714375589,0.6330423537019075,0.6097863115515639,0.5808504483656349,0.5850127732046552,0.6275764036958067,0.6937557392102847,0.8325017818959373,0.5307224848075625,0.6029411764705882,0.16279069767441862,1.0
Recall_2,0.39847068819031434,0.5686774284905126,0.5545171339563862,0.557632398753894,0.5686774284905126,0.5836873406966865,0.5001416029453413,0.42792410082129706,0.3307844803171906,0.22259983007646558,0.1277258566978193,0.009912206173888417,0.0
F1_2,0.47238542890716806,0.5985096870342772,0.591183574879227,0.5825443786982248,0.5746994848311391,0.5843493053586617,0.5566587864460205,0.5293396391662287,0.47344953384677746,0.3136472466081405,0.21079691516709512,0.01868659903897491,0.0
Precision_3,0.4576726030739205,0.6295104573661228,0.6789035731767009,0.5918322777899104,0.683076923076923,0.6778505897771953,0.6391786179921773,0.592008797653959,0.6005608974358975,0.38825088339222613,0.27117327117327117,0.19238476953907815,1.0
Recall_3,0.4311652493679614,0.6295104573661228,0.6375545851528385,0.6228453229142725,0.6122730406803034,0.5943461273270513,0.45070098827855665,0.37117903930131,0.34451850149390945,0.2020225235578028,0.16042289128935877,0.02206389335784877,0.0
F1_3,0.44402366863905324,0.6295104573661228,0.6575797084271661,0.606942889137738,0.6457399103139013,0.633357825128582,0.5286426742148538,0.45627913547111176,0.43785599532642033,0.2657596371882086,0.2015884476534296,0.03958762886597938,0.0
Precision_4,0.4997679814385151,0.524759529747061,0.5629464285714286,0.5725840783312047,0.6875300914780934,0.6136269214790195,0.608433734939759,0.631393986723936,0.6464405160057334,0.515074092999489,0.2630040911747516,0.27097661623108665,1.0
Recall_4,0.3274551535421101,0.4478564913347522,0.383399209486166,0.40893888719975674,0.4341745211310429,0.4490726664639708,0.4606263301915476,0.4916387959866221,0.411371237458194,0.3064761325630891,0.13681970203709334,0.11979325022803283,0.0
F1_4,0.3956649522409993,0.48326771653543305,0.45614035087719296,0.477119545938276,0.5322400298173686,0.5186095505617978,0.5243121647343831,0.5528205128205128,0.5027870680044593,0.38429279451010295,0.18,0.16613957410921357,0.0
Avg_F1,0.5272072136187221,0.6220336924784081,0.6394324835318781,0.6390158996155748,0.6651763502177357,0.6549452797554615,0.6256888792944115,0.5903764839276056,0.5527581486732396,0.44590810209502874,0.34468615552560994,0.24992074216129007,0.19301057843908928
