,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.8733122640985791,0.884406569160746,0.8837474328374778,0.8931834896758437,0.8957870781527532,0.9007670265319716,0.9028328985346359,0.9061875555062167,0.9086870698268206,0.9095873112788633,0.9141353519094139,0.9184023923179396,0.9185879912300178,0.9197657637655418,0.9230701182282416,0.9243467612122558,0.9252383298179396,0.9230909330595026,0.9230874639209592,0.9208359930062167,0.9242791130106572,0.9189609236234458,0.9188932754218473,0.9068761795071048,0.8358334258436945
Precision_0,0.9345971583882556,0.936803982191958,0.9243938575381039,0.9445039892692972,0.9456152664225961,0.9450644695532462,0.9445084284368129,0.9536639948265005,0.9494511100056491,0.9597208319191625,0.953662150719729,0.9623934921706697,0.9580530449901362,0.9650946747473008,0.9620580878147064,0.9691293303788575,0.9717766616455186,0.9603289060253283,0.963987328477917,0.9657717354542262,0.9666963051838838,0.9639810121834917,0.9641271392391019,0.9602596737573346,0.8847363097028187
Recall_0,0.9557785297729986,0.9641805017564051,0.9699263941733731,0.9631111989075074,0.9633388015219314,0.9669396466576771,0.9684920682636068,0.9626001666222913,0.9671629548831496,0.9593128118799976,0.9673325832467298,0.9640280509486305,0.9666497754034579,0.9625271620101176,0.9678586458932759,0.9625765474830587,0.9613311746871538,0.9679810359783906,0.9657135986120535,0.9626259329559997,0.9687948226846802,0.9658252527247898,0.9702527677336792,0.9744226194054848,0.9727950459929057
F1_0,0.9450691770620688,0.9502951141623054,0.9466129079577698,0.9537168451122288,0.9543947575828806,0.9558769215094436,0.9563499046936521,0.9581112445662163,0.9582251929508071,0.9595167785234899,0.9604487253284214,0.9632100781022892,0.9623322114475106,0.9638092084682045,0.964949649774794,0.9658418246707149,0.9665256972373878,0.9641397879932717,0.9648496914023869,0.9641962683252844,0.9677444262964913,0.9649022512197817,0.9671802544287447,0.9672893062792212,0.9266784072849105
Precision_1,0.5832017682349226,0.6174585369762038,0.6904565523264277,0.6653493013972056,0.6738446648923301,0.6923323451646503,0.7314501264520554,0.7337268471402402,0.7602207599235831,0.7613421160971593,0.7752238083716428,0.7441860465116279,0.7875,0.7641405214317278,0.7820595486440357,0.7625564233001362,0.7505090219757073,0.7881949852047968,0.7766775051729234,0.7419124982186119,0.7853037129097405,0.7266346773615985,0.722577490219681,0.6438589379813539,0.439256515074093
Recall_1,0.5367820685145493,0.559922984705925,0.5169833254622734,0.6054782577106114,0.6070403603734515,0.6278199585861155,0.619900461365205,0.6547753115123334,0.6505249391506521,0.6718131289279616,0.6983688741962437,0.7393468231191194,0.7163512188033567,0.7538416827115196,0.7490463908162894,0.7732771460747629,0.776655647182766,0.7354234024775674,0.7636139063464962,0.7564936244414575,0.7345515312238893,0.7371671449849239,0.6978239546626948,0.5770334580593599,0.24982744214770952
F1_1,0.5590299453303823,0.5872849549429404,0.5912584652457518,0.6340034615896685,0.6387004300047778,0.6584998761645298,0.6710712600283153,0.6920064501266989,0.7011080223953643,0.7137811915008588,0.7347921643573817,0.74175854214123,0.7502425476059125,0.758956165535907,0.7651970607882431,0.7678793672552804,0.763358506061093,0.7608953036026386,0.7700903079262149,0.7491321161974998,0.7590802440168934,0.7318630191333201,0.7099850307700837,0.6086173534877484,0.31850496723247573
Precision_2,0.5654603512506653,0.5990330506459539,0.6477921366272432,0.6585080172866432,0.6340209916757148,0.6721160133861599,0.6522086893292128,0.657893836202471,0.6624735766018643,0.655746419908961,0.685841183423475,0.6840421591406539,0.6998727825288006,0.6796081277213353,0.7247770396740926,0.6976411257523996,0.7266004862236629,0.730721148694503,0.723862527555925,0.7310796996721773,0.7017678708685626,0.7130253508543349,0.7110225574610404,0.6637426900584795,0.4158205553253212
Recall_2,0.5455312282245939,0.5543697509810394,0.5202625884769135,0.5979389005024388,0.6424615835992225,0.6408112370264423,0.6579014926467892,0.7049913815234533,0.7011038984853486,0.7238053324531485,0.7022408039021528,0.7450031173213041,0.7263358638647449,0.7556020097553819,0.7242454248725566,0.7863718047456633,0.7891957311035317,0.750284226354201,0.7345875967286464,0.7606263982102909,0.7366413613525506,0.7024608501118568,0.732900575787582,0.6493563648366157,0.29438515421571865
F1_2,0.555317044033375,0.5758366507304623,0.5770654517349387,0.62676354130627,0.6382133814233929,0.6560904175428056,0.6550427225589718,0.680628828382254,0.6812415365975341,0.6880970643609232,0.6939441162613706,0.713222386068394,0.7128588140016198,0.715593143809805,0.724511134754375,0.7393538153856763,0.7566056642582142,0.7403734800231615,0.7291856274345626,0.7455604284995326,0.7187818712090036,0.7077036763347497,0.7217958210680295,0.6564707190923753,0.3447209636898499
Precision_3,0.6004171750167263,0.6552725462540446,0.662933733080552,0.6452354048964218,0.6764614548559894,0.6947668738031031,0.7116447342265336,0.7178537330532748,0.7182337151714491,0.6930333070352965,0.7496730212833419,0.7602269334129591,0.7406317013775306,0.7485097412038383,0.7525194356464152,0.7604103152684624,0.7334596715207128,0.7528645738605362,0.7326078112286412,0.7251116454826521,0.7561867266591676,0.7569375528356673,0.7426970045655321,0.6887887323943662,0.5037246138163569
Recall_3,0.5332028519502306,0.5520760520061513,0.5255137704459667,0.5987347965888439,0.6090801062491262,0.6213127359150007,0.6256116314832937,0.6569621137984063,0.6639871382636656,0.7061372850552216,0.6610862575143297,0.7118691458129456,0.7121836991472109,0.7197329791695792,0.7307423458688662,0.7409828044177268,0.7710401230253041,0.7233678176988676,0.7552425555710891,0.7377324199636516,0.7518523696351181,0.7197679295400531,0.6993219628128058,0.6409548441213477,0.2245211799245072
F1_3,0.5648173858314359,0.5992640084980462,0.5862788294699082,0.62111598564229,0.6410048920439916,0.6559899629144449,0.6658606900399888,0.6860594558096246,0.6900459473693769,0.6995239331775297,0.7025982950429954,0.7352537722908093,0.7261291759465479,0.7338393557123513,0.7414710263139229,0.7505708671870851,0.751780541829954,0.7378215068712903,0.74375301163351,0.731367589480614,0.7540133193130039,0.7378849495691431,0.7203571364282757,0.6640114416061698,0.3106007494258431
Precision_4,0.5797170218272798,0.6340269277845777,0.6320342499006929,0.6448483408568939,0.6756462357032134,0.700878015514449,0.7199564744287269,0.6833490833490834,0.7494943409218058,0.6988267871456678,0.7343296132089895,0.7440749235474006,0.7564251882910163,0.740931109714159,0.7572600060186578,0.754296347648411,0.7509596581444195,0.7705848291835553,0.7680286125257552,0.7430674938336198,0.7362661819800438,0.7148130891365901,0.7130696999770975,0.658393710497919,0.4477004963817953
Recall_4,0.4907968738587393,0.5296910379081148,0.5229712950113213,0.5947337667080563,0.5889635526988533,0.60054050105909,0.6040829742166387,0.6602147396099628,0.6360382733182383,0.700460156307063,0.7016653275874662,0.7108684537287269,0.7115623402235045,0.7317580892557154,0.7351910013877729,0.7549850266598496,0.7573223285369951,0.7290190636184355,0.7214958732013732,0.726133956613834,0.7248922649916003,0.7283616974654883,0.6822365057336937,0.6239135198305457,0.2733912789423709
