,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,layer12_hidden_states,layer13_hidden_states,layer14_hidden_states,layer15_hidden_states,layer16_hidden_states,layer17_hidden_states,layer18_hidden_states,layer19_hidden_states,layer20_hidden_states,layer21_hidden_states,layer22_hidden_states,layer23_hidden_states,x_hidden_states
Acc,0.952349647535524,0.9591717084813499,0.9604865119893428,0.9659035718250444,0.9692634325044405,0.9709529029751333,0.9711818661190054,0.9728279723579041,0.9734073184946714,0.9740577819715808,0.973934627553286,0.9731939664742452,0.9721636323268206,0.9721618977575488,0.9713865452930728,0.9720907804174067,0.9718167184724689,0.9691264015319716,0.969152420071048,0.9625645259769094,0.9644187805284192,0.9610450432948491,0.9564414964476021,0.9498605406305506,0.9232574517095915
Precision_0,0.9737453854516308,0.9792441240798394,0.9779265820998824,0.9849595730856328,0.9848800384704546,0.9857403552355649,0.9871202640538104,0.9878597528510167,0.988496149028647,0.9901041857558145,0.9904585016256459,0.9886622450256538,0.9871181372322925,0.9873345921188744,0.9889120062996016,0.9872241200002306,0.9886454578938945,0.9846715860925118,0.9845307936166989,0.9846713693010175,0.984667172497198,0.9819216939672393,0.9774705708257354,0.9730049219956662,0.9450845890015029
Recall_0,0.9822128504569696,0.9827909040104625,0.9849955733772731,0.9839854199914349,0.9872367311743705,0.9875747292654495,0.9861420782657625,0.9869870734934599,0.9866471549586816,0.985708057989718,0.9851991404094002,0.9861977711330426,0.9864186221584635,0.9861305556035667,0.9840027039847287,0.986249623112924,0.9845557917701305,0.9850781524563436,0.9858732161478588,0.9790191525850133,0.9819535905575624,0.981753864412834,0.9831058567771498,0.9847939267888453,0.9890361869206261
F1_0,0.9779607898626517,0.9810143082797859,0.9814483491039907,0.9844722555530684,0.9860569766906563,0.9866566896426019,0.9866309287066125,0.9874232203549396,0.9875707865427718,0.9879012312412305,0.9878218205940148,0.9874284703421118,0.9867682557247106,0.9867322065621243,0.9864512471109631,0.9867366309543938,0.9865963867014602,0.984874827315745,0.9852015475907175,0.9818371263735788,0.9833085094005621,0.9818377720180883,0.9802801150486199,0.9788639302877159,0.9665610026631833
Precision_1,0.7023826307627238,0.7528764744192779,0.7647272992062915,0.7856221330275229,0.8270999386879215,0.8096893176337069,0.8271728988731788,0.8434569004019652,0.8157894736842105,0.802927408188831,0.8110038084874864,0.8320041352828238,0.8210737007648867,0.8070259208731242,0.8137254901960784,0.8201147013568332,0.8111493461803165,0.8124243071881456,0.7978603603603603,0.7781456953642384,0.778233938346298,0.7249963604600379,0.734737359665656,0.6664001279385895,0.5649469964664311
Recall_1,0.7246018471383899,0.7565995200349066,0.7637262744527671,0.7971056650425423,0.7848156497709258,0.830121445713039,0.8381208639371682,0.8240127990691586,0.858919351319904,0.8856083193949531,0.867209657479456,0.8193585921023926,0.8352847065667951,0.8603737909970184,0.8450294524034616,0.8527379826921678,0.8571013017235111,0.8293215038906261,0.8243764089884372,0.8203039778925169,0.7857610355610501,0.7243109592029671,0.6520253072503818,0.606065013453567,0.2906697694713112
F1_1,0.7133192540358664,0.7547334058759522,0.7642264590307087,0.7913222394686497,0.8054031866860704,0.8197780889798556,0.8326108943794249,0.8336214824351664,0.8367990364518757,0.8422435853101874,0.838165524512388,0.8256329461766754,0.8281182408074982,0.8328464327197213,0.8290820876886305,0.836108239152911,0.8334924507619957,0.8207859507701166,0.8109016774562753,0.7986688851913477,0.7819793739822689,0.7246534977627415,0.6909146952300224,0.6348021479986289,0.3838471141841928
Precision_2,0.7010249145904508,0.7434225490939419,0.7440404345202173,0.766449020592667,0.808952468850946,0.8290518449322747,0.804610564010743,0.8120083123051803,0.8118972244717662,0.827299876174521,0.8205351316075702,0.7946575342465754,0.8054755043227666,0.8185087333039777,0.7910447761194029,0.7856256890848953,0.8353407755581669,0.7954463055615981,0.8384366825665487,0.7531406603967873,0.7573027176282517,0.762481426448737,0.7170876898420209,0.6772161989795918,0.5079796264855687
Recall_2,0.6444274224435083,0.751053236307928,0.7554959785522788,0.8182305630026809,0.805668326311758,0.8157793948678668,0.8261202604366144,0.8380697050938338,0.84473381846036,0.8700114898506319,0.8667943316736882,0.8887016468785905,0.8563768671007277,0.8543086939869782,0.8566066641133665,0.8733052470317886,0.8712370739180391,0.8402910762160092,0.8347759479126772,0.8403676752202222,0.7983148219073152,0.7861355802374569,0.7197242435848334,0.6507085407889698,0.3437763309076982
F1_2,0.6715357598978289,0.7472184118274653,0.7497244498498726,0.7914937759336099,0.8073070576044825,0.8223620709625111,0.8152235534222759,0.824833201402239,0.827990089346047,0.8481182795698925,0.8430306190866423,0.8390526125474598,0.8301466493410061,0.8360256362205315,0.8225213298028832,0.8271484020749447,0.8529114018971917,0.8172539670714445,0.8366023106743945,0.7943668090652378,0.7772681507998658,0.7741278521591552,0.7184035476718403,0.6636978006953397,0.4100502512562814
Precision_3,0.7635971567766153,0.7711575515043723,0.8144373315363881,0.7680925477535647,0.8112475303415185,0.8315549341379057,0.8301562276049879,0.8402772865530169,0.8566685912240185,0.8489497455014696,0.8238355979179341,0.8212847293330603,0.826892459111304,0.8292068198665679,0.786930330015715,0.8609261501210653,0.83328530259366,0.8434627927660836,0.8208066676588778,0.7606301408057995,0.7993151173574945,0.816892911010558,0.7829914328381671,0.7727704394371061,0.5624560910495996
Recall_3,0.6711357574055875,0.7304506528148252,0.6787168327951706,0.8016285273059104,0.8070335532781131,0.7932051102063737,0.8131405306752773,0.8338480977116384,0.8332163414291731,0.8312508774392812,0.8554682016004492,0.8445177593710516,0.8020496981608872,0.7852028639618138,0.8436052225186017,0.7986803313210726,0.8118770181103467,0.7988207216060649,0.7742524217324162,0.7659693949178716,0.7864663765267443,0.7603537835181805,0.6992840095465394,0.6283167204829426,0.2809911554120455
