,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.4306768558951965,0.4470524017467249,0.43995633187772926,0.44377729257641924,0.45360262008733626,0.45633187772925765,0.4557860262008734,0.4650655021834061,0.45360262008733626,0.46670305676855894,0.45524017467248906,0.42958515283842796,0.3881004366812227
Precision_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Recall_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_1,0.4593908629441624,0.4780600461893764,0.3850129198966408,0.46175637393767704,0.48081264108352145,0.46496815286624205,0.4672686230248307,0.5386996904024768,0.5,0.47391304347826085,0.4572564612326044,0.43896713615023475,0.4032846715328467
Recall_1,0.39606126914660833,0.45295404814004375,0.6520787746170679,0.35667396061269147,0.4660831509846827,0.47921225382932164,0.45295404814004375,0.38074398249452956,0.28665207877461707,0.47702407002188185,0.5032822757111597,0.40919037199124725,0.48358862144420134
F1_1,0.42538190364277323,0.4651685393258427,0.4841592201462226,0.4024691358024691,0.47333333333333333,0.47198275862068967,0.46,0.4461538461538462,0.36439499304589706,0.47546346782988,0.4791666666666667,0.42355605889014725,0.43980099502487563
Precision_2,0.4163346613545817,0.44421906693711966,0.4708860759493671,0.5435684647302904,0.4658119658119658,0.4673913043478261,0.43243243243243246,0.4536290322580645,0.44692737430167595,0.4781659388646288,0.4392857142857143,0.42213114754098363,0.3765112262521589
Recall_2,0.4593406593406593,0.48131868131868133,0.4087912087912088,0.2879120879120879,0.47912087912087914,0.378021978021978,0.45714285714285713,0.4945054945054945,0.5274725274725275,0.48131868131868133,0.5406593406593406,0.45274725274725275,0.47912087912087914
F1_2,0.4367816091954023,0.4620253164556962,0.4376470588235294,0.3764367816091954,0.4723726977248104,0.41798298906439857,0.4444444444444444,0.47318611987381703,0.4838709677419355,0.47973713033953996,0.48472906403940885,0.4369034994697773,0.42166344294003866
Precision_3,0.4123006833712984,0.4309978768577495,0.5180327868852459,0.4386873920552677,0.40795287187039764,0.4246575342465753,0.44889779559118237,0.4474153297682709,0.45,0.44952380952380955,0.44715447154471544,0.44148936170212766,0.3557692307692308
Recall_3,0.3969298245614035,0.4451754385964912,0.34649122807017546,0.5570175438596491,0.6074561403508771,0.543859649122807,0.49122807017543857,0.5504385964912281,0.4934210526315789,0.5175438596491229,0.4824561403508772,0.36403508771929827,0.32456140350877194
F1_3,0.4044692737430168,0.43797195253505933,0.4152431011826544,0.49082125603864735,0.4881057268722467,0.47692307692307695,0.46910994764397906,0.4936086529006883,0.4707112970711297,0.48114169215086644,0.4641350210970464,0.39903846153846156,0.3394495412844037
Precision_4,0.4386317907444668,0.4367816091954023,0.4581005586592179,0.40212443095599393,0.5082644628099173,0.48166259168704156,0.4792176039119804,0.4469026548672566,0.44090056285178236,0.46786632390745503,0.4981949458483754,0.42066420664206644,0.4290657439446367
Recall_4,0.4698275862068966,0.40948275862068967,0.35344827586206895,0.5711206896551724,0.2650862068965517,0.4245689655172414,0.4224137931034483,0.4353448275862069,0.5064655172413793,0.3922413793103448,0.2974137931034483,0.49137931034482757,0.2672413793103448
F1_4,0.45369406867845996,0.42269187986651835,0.39902676399026765,0.4719501335707925,0.34844192634560905,0.4513172966781214,0.44902634593356244,0.4410480349344978,0.47141424272818455,0.42672919109026963,0.3724696356275304,0.4532803180914513,0.3293492695883134
Avg_F1,0.5440653710519305,0.5575715376366233,0.5472152288285348,0.548335461404221,0.5564507368551999,0.5636412242572574,0.5645161476043972,0.5707993307725698,0.5580783001174293,0.5726142962821112,0.5601000774861304,0.5425556675979675,0.5060526497675263
