,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,layer3_hidden_states,layer4_hidden_states,layer5_hidden_states,layer6_hidden_states,layer7_hidden_states,layer8_hidden_states,layer9_hidden_states,layer10_hidden_states,layer11_hidden_states,x_hidden_states
Acc,0.43774703557312256,0.4407114624505929,0.44762845849802374,0.44219367588932806,0.4782608695652174,0.5192687747035574,0.5345849802371542,0.6951581027667985,0.7766798418972332,0.9026679841897233,0.958498023715415,0.9901185770750988,0.41946640316205536
Precision_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Recall_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_1,0.43320610687022904,0.46153846153846156,0.4581497797356828,0.4690721649484536,0.494199535962877,0.5174825174825175,0.5230496453900709,0.6654804270462633,0.7855787476280834,0.8978805394990366,0.9678068410462777,0.9841269841269841,0.4176954732510288
Recall_1,0.4530938123752495,0.3712574850299401,0.4151696606786427,0.36327345309381237,0.4251497005988024,0.590818363273453,0.5888223552894212,0.7465069860279441,0.8263473053892215,0.9301397205588823,0.9600798403193613,0.9900199600798403,0.405189620758483
F1_1,0.4429268292682927,0.41150442477876104,0.4356020942408377,0.4094488188976378,0.4570815450643777,0.5517241379310345,0.5539906103286385,0.7036688617121355,0.8054474708171206,0.9137254901960784,0.9639278557114228,0.9870646766169154,0.41134751773049644
Precision_2,0.44136460554371004,0.4023136246786632,0.4868035190615836,0.4409937888198758,0.450261780104712,0.4879310344827586,0.5218295218295218,0.7290748898678414,0.7740585774058577,0.8842504743833017,0.9497098646034816,0.996039603960396,0.4247104247104247
Recall_2,0.4099009900990099,0.6198019801980198,0.3287128712871287,0.42178217821782177,0.5108910891089109,0.5603960396039604,0.497029702970297,0.6554455445544555,0.7326732673267327,0.9227722772277228,0.9722772277227723,0.996039603960396,0.43564356435643564
F1_2,0.42505133470225875,0.48791893998441155,0.39243498817966904,0.4311740890688259,0.47866419294990725,0.5216589861751152,0.5091277890466531,0.6903023983315955,0.7527975584944049,0.9031007751937985,0.9608610567514677,0.996039603960396,0.43010752688172044
Precision_3,0.48104265402843605,0.446985446985447,0.45571955719557194,0.4182076813655761,0.498134328358209,0.6156156156156156,0.5727699530516432,0.7020316027088036,0.8228699551569507,0.9354166666666667,0.9754601226993865,0.984375,0.42592592592592593
Recall_3,0.401980198019802,0.42574257425742573,0.4891089108910891,0.5821782178217821,0.5287128712871287,0.40594059405940597,0.48316831683168315,0.6158415841584158,0.7267326732673267,0.8891089108910891,0.9445544554455445,0.998019801980198,0.4099009900990099
F1_3,0.43797195253505933,0.43610547667342797,0.47182425978987586,0.4867549668874172,0.5129682997118156,0.4892601431980907,0.5241675617615468,0.6561181434599156,0.7718191377497371,0.9116751269035533,0.959758551307847,0.9911504424778761,0.4177598385469223
Precision_4,0.4088669950738916,0.49171270718232046,0.4148471615720524,0.4577777777777778,0.47520661157024796,0.49536178107606677,0.5280289330922242,0.6920353982300885,0.7347294938917975,0.8955823293172691,0.9424184261036468,0.9960238568588469,0.4101123595505618
Recall_4,0.4853801169590643,0.3469785575048733,0.5555555555555556,0.4015594541910331,0.44834307992202727,0.52046783625731,0.5692007797270955,0.7621832358674464,0.8206627680311891,0.8693957115009746,0.9571150097465887,0.9766081871345029,0.4269005847953216
F1_4,0.44385026737967914,0.40685714285714286,0.475,0.42782969885773625,0.46138415245737213,0.5076045627376425,0.5478424015009381,0.725417439703154,0.7753222836095764,0.8822947576656776,0.9497098646034816,0.9862204724409449,0.4183381088825215
Avg_F1,0.5499600767770579,0.5484771968587487,0.5549722684420766,0.5510415147423233,0.5820196380366947,0.6140495660083765,0.6270256725275554,0.7551013686413601,0.8210772901341679,0.9221592299918215,0.9668514656748439,0.9920950390992264,0.5355105984083322
