,250m
plan_agent_layer1_tick_1,0.4138148542268736
plan_agent_layer1_tick_2,0.6042736686388425
plan_agent_layer1_tick_3,0.6756195086390768
plan_agent_layer1_tick_4,0.702517688010796
plan_agent_layer1_tick_5,0.7447080764086504
plan_agent_layer1_tick_6,0.7641545694283084
plan_agent_layer1_tick_7,0.7643505856273094
plan_agent_layer1_tick_8,0.7794735799724457
plan_agent_layer1_tick_9,0.7853060999087578
plan_agent_layer1_tick_10,0.7931615965402856
plan_agent_layer1_tick_11,0.7963375619691825
plan_agent_layer1_tick_12,0.8024501981213298
plan_agent_layer1_tick_13,0.7976419456975821
plan_agent_layer1_tick_14,0.8005084261550159
plan_agent_layer1_tick_15,0.80033804472841
plan_agent_layer1_tick_16,0.8005538112311971
plan_agent_layer1_tick_17,0.8002571208615163
plan_agent_layer1_tick_18,0.8009280550957417
plan_box_layer1_tick_1,0.4488754722962011
plan_box_layer1_tick_2,0.6658983778063666
plan_box_layer1_tick_3,0.7317511815861911
plan_box_layer1_tick_4,0.7724435151264555
plan_box_layer1_tick_5,0.7816091492575452
plan_box_layer1_tick_6,0.8080255795028684
plan_box_layer1_tick_7,0.8289836421367014
plan_box_layer1_tick_8,0.8283885501484992
plan_box_layer1_tick_9,0.8396797064028148
plan_box_layer1_tick_10,0.8275110122152801
plan_box_layer1_tick_11,0.8304129539944206
plan_box_layer1_tick_12,0.8359642819987829
plan_box_layer1_tick_13,0.8285196008344146
plan_box_layer1_tick_14,0.8392747557505679
plan_box_layer1_tick_15,0.831841014871673
plan_box_layer1_tick_16,0.8355756124496716
plan_box_layer1_tick_17,0.8330621286609278
plan_box_layer1_tick_18,0.8310219086367482
plan_agent_layer2_tick_1,0.5725747047612636
plan_agent_layer2_tick_2,0.6576066009094843
plan_agent_layer2_tick_3,0.7298099436362075
plan_agent_layer2_tick_4,0.7695578696689693
plan_agent_layer2_tick_5,0.793983060565641
plan_agent_layer2_tick_6,0.8041842084113314
plan_agent_layer2_tick_7,0.8245633230397008
plan_agent_layer2_tick_8,0.8259612635586159
plan_agent_layer2_tick_9,0.835734518194536
plan_agent_layer2_tick_10,0.8361943343421343
plan_agent_layer2_tick_11,0.8422554072591325
plan_agent_layer2_tick_12,0.8437153444209479
plan_agent_layer2_tick_13,0.8446416342606204
plan_agent_layer2_tick_14,0.851951561580847
plan_agent_layer2_tick_15,0.8545867979493836
plan_agent_layer2_tick_16,0.8544258333809068
plan_agent_layer2_tick_17,0.8540521289659744
plan_agent_layer2_tick_18,0.8530148038974051
plan_box_layer2_tick_1,0.6508345911594787
plan_box_layer2_tick_2,0.7706940776608293
plan_box_layer2_tick_3,0.8238621272744833
plan_box_layer2_tick_4,0.8566413776513404
plan_box_layer2_tick_5,0.8812344237208609
plan_box_layer2_tick_6,0.8819618508403739
plan_box_layer2_tick_7,0.8969029131478907
plan_box_layer2_tick_8,0.9129135458964226
plan_box_layer2_tick_9,0.9123390985260101
plan_box_layer2_tick_10,0.9126629187456115
plan_box_layer2_tick_11,0.9140391565245813
plan_box_layer2_tick_12,0.9134433775785595
plan_box_layer2_tick_13,0.9154933794664448
plan_box_layer2_tick_14,0.909882621835238
plan_box_layer2_tick_15,0.9100547693463573
plan_box_layer2_tick_16,0.9099774100397028
plan_box_layer2_tick_17,0.9089800617110362
plan_box_layer2_tick_18,0.9083074717408394
plan_agent_layer3_tick_1,0.5964061480559886
plan_agent_layer3_tick_2,0.678814583501128
plan_agent_layer3_tick_3,0.7183358861962239
plan_agent_layer3_tick_4,0.7494221893495728
plan_agent_layer3_tick_5,0.7907329899075521
plan_agent_layer3_tick_6,0.8032916135625043
plan_agent_layer3_tick_7,0.8190162140478906
plan_agent_layer3_tick_8,0.8311426827478913
plan_agent_layer3_tick_9,0.8326204876248695
plan_agent_layer3_tick_10,0.8354975311997614
plan_agent_layer3_tick_11,0.8325417007006211
plan_agent_layer3_tick_12,0.838647831508084
plan_agent_layer3_tick_13,0.8408033218887265
plan_agent_layer3_tick_14,0.841730391577561
plan_agent_layer3_tick_15,0.8478853013828527
plan_agent_layer3_tick_16,0.846036958768664
plan_agent_layer3_tick_17,0.8397854135557878
plan_agent_layer3_tick_18,0.8481982851249837
plan_box_layer3_tick_1,0.6408520661888433
plan_box_layer3_tick_2,0.7471749442130935
plan_box_layer3_tick_3,0.8011132376718397
plan_box_layer3_tick_4,0.8146239847047498
plan_box_layer3_tick_5,0.8326540795868137
plan_box_layer3_tick_6,0.845752350453089
plan_box_layer3_tick_7,0.8564189965238593
plan_box_layer3_tick_8,0.8572265854642949
plan_box_layer3_tick_9,0.8532688252693914
plan_box_layer3_tick_10,0.848194837812786
plan_box_layer3_tick_11,0.8498903243372947
plan_box_layer3_tick_12,0.8502154589645666
plan_box_layer3_tick_13,0.8455111716421987
plan_box_layer3_tick_14,0.8512287527179595
plan_box_layer3_tick_15,0.8535008059692168
plan_box_layer3_tick_16,0.8434888594464967
plan_box_layer3_tick_17,0.8418368910767946
plan_box_layer3_tick_18,0.8481811745644524
